embedding_type,transferability,pearson,spearman,ndcg_at_0_5_pct,ndcg_at_1pct,ndcg_at_5pct,ndcg_at_top_200,enrichment_at_0_5pct,enrichment_at_1pct,enrichment_at_5pct,enrichment_at_top_200,recall_at_0_5pct,recall_at_1pct,recall_at_5pct,recall_at_top_200
quest_gene_expr,same_sample_same_lab,0.26948894312852223,0.11470930570337613,0.5831610724488104,0.5789523606500376,0.6472638989081625,0.5882444930596382,0.4735889621786762,0.46050718714542915,0.4973888949790961,0.48363569422367797,0.14588035906362806,0.22252885774663492,0.30959047039334625,0.10409523809523807
quest_gene_expr,cross_sample_cross_lab,0.24230561907782175,0.10249495554899941,0.45591494600728694,0.4664261265335562,0.562460008086293,0.455748064342491,0.2812468776530976,0.28819105153975577,0.3673999948122367,0.2865176474703709,0.07945520993865013,0.1299531028205293,0.22564580280462587,0.07237500000000001
quest_scgpt,same_sample_same_lab,0.2626483873106013,0.10295266699216357,0.5017380123969616,0.49690128573301107,0.5645326666517315,0.5063221965165084,0.3654096428291446,0.3525360681970718,0.38860181897356405,0.37345015854694125,0.11411833114522052,0.1680385778735909,0.25682524533096945,0.08666666666666667
quest_scgpt,cross_sample_cross_lab,0.17789970057282264,0.05221978805489708,0.3434633601130687,0.3477844300509214,0.4107081353821884,0.3425436965587148,0.12418848312894272,0.120043512222146,0.13950873324887555,0.12988955966619578,0.04707545796076477,0.06135979989993773,0.11405030854432768,0.039321608040201
scgpt,same_sample_same_lab,0.03806928735542929,0.04272267762139507,0.30074349201730916,0.2966987993254652,0.3502100043718268,0.309372365196384,0.09457046390590566,0.08291231973829417,0.09012032791367403,0.10887816704865586,0.03178429230836077,0.047132686956010014,0.09603755093320451,0.02157142857142857
scgpt,cross_sample_cross_lab,0.014522957922763978,0.019006990183189763,0.2813297599579819,0.2862571070731754,0.34465582273314044,0.27849140443407827,0.03757281720757907,0.036374902263272654,0.04695123568386046,0.03812044102298271,0.01223969319250739,0.02292441567901105,0.07684532735558937,0.009271356783919599
gene_expr,same_sample_same_lab,0.18573466265818947,0.08093815041917228,0.4351048084131142,0.42128945425897424,0.4537096956114877,0.4458018277708829,0.2712732061702411,0.2447642536478927,0.22385553695171806,0.2867005172500072,0.09516668978659398,0.12358743174322215,0.16136482874087024,0.06819047619047619
gene_expr,cross_sample_cross_lab,0.13643019324194702,0.05984806456299703,0.3846995422709768,0.3794015942633957,0.43321889458878066,0.38580900574494986,0.1732842992171233,0.15781156785428818,0.16759823070411553,0.18134679711225793,0.046145097325737475,0.0690217579120888,0.13225503562533866,0.03708542713567839
quest_gene_expr,cross_sample_same_lab,0.2241771207362568,0.08034473637310442,0.5235021411478856,0.5383137115601743,0.6049744818639907,0.5061199130322145,0.38323621281640824,0.39215203908846663,0.39816159270449164,0.3655962354158011,0.14287960170615038,0.18177409937033012,0.25635891772815694,0.10300000000000001
quest_scgpt,cross_sample_same_lab,0.16846920326593748,0.03589184001874491,0.38090484371725725,0.4019029893846386,0.5001825483619025,0.37679548034415894,0.19450259507796253,0.20981987051731898,0.2603030304154495,0.1939255752880296,0.07280103180484591,0.10310499712085175,0.18111024840894174,0.06343750000000001
scgpt,cross_sample_same_lab,0.019332835685515307,0.017706243899025136,0.2971956564422588,0.2997580586573383,0.3602745830177011,0.285328876141433,0.07816705578104775,0.06336392746087857,0.04761368778368254,0.06959357421368624,0.015894953977265584,0.02658286331555666,0.08403166645199833,0.014000000000000002
gene_expr,cross_sample_same_lab,0.14066836340529734,0.03965608056917854,0.4034049827316813,0.40705264189977514,0.4617462086230958,0.4045815975040009,0.22018939245147598,0.20810056939523466,0.18719266579068122,0.23039957999052607,0.06473228989222772,0.08428315415724859,0.15834236231158533,0.06518750000000001
