query_id,pearson,spearman,ndcg_at_0_5_pct,ndcg_at_1pct,ndcg_at_5pct,ndcg_at_top_200,enrichment_at_0_5pct,enrichment_at_1pct,enrichment_at_5pct,enrichment_at_top_200,recall_at_0_5pct,recall_at_1pct,recall_at_5pct,recall_at_top_200
1,0.2662505297147829,0.20078909461600392,0.2047260133581177,0.22750788599697225,0.44851500964792007,0.2029578614797509,0.05400615185605752,0.08199672901983954,0.33138883238517425,0.048735864530689725,0.04040404040404041,0.04292929292929293,0.24715693707354056,0.015
2,0.04110893291550667,0.03723294512634522,0.22906200173619196,0.24250227240469777,0.2936345370205806,0.24559808704107247,0.09418550494925174,0.10314122355710896,0.10003467380411822,0.12826052026854287,0.010101010101010102,0.027777777777777776,0.1051301491028557,0.005
3,0.16298494373615943,0.09188659641881497,0.3748895112046828,0.37248756115653503,0.38017513697172156,0.36770066972469695,0.2895494270191066,0.27167961626041187,0.20565018663993473,0.289366915571586,0.05303030303030303,0.08080808080808081,0.17664897649734648,0.02
4,0.2993180335454092,0.2355232925586917,0.22405552276151652,0.26177853291874237,0.421350320630076,0.22611260981721792,0.0691171561296305,0.11525207664301804,0.27253813564934093,0.07826865445384154,0.005141388174807198,0.055269922879177376,0.21573669323733607,0.0
5,0.03320874688296208,0.03693843749321341,0.2515688452179946,0.25798810986111886,0.3185861591222063,0.24822816033060802,0.10912572960481708,0.10793342230336926,0.1200459618166052,0.11406419785421326,0.010282776349614395,0.02699228791773779,0.1151967086654667,0.005
6,0.2079499298195197,0.15756203023466694,0.3894560505995181,0.3799540645972134,0.39186647389844337,0.39996739173603824,0.26532259023129406,0.24992508943979683,0.20740253801809788,0.2727390305627288,0.033419023136246784,0.06426735218508997,0.1722807919773721,0.015
7,0.3124867905802948,0.21952277214612842,0.6295216252291616,0.6262985873537964,0.5903173132745324,0.6400201835485017,0.5739099022039565,0.5690179419977768,0.4583604896647401,0.5728155530136163,0.1425438596491228,0.2217343578485181,0.34087414891280476,0.075
8,0.037112795620750615,0.03313410813220015,0.2616807555210909,0.2725445560602018,0.3308770915583862,0.25045122968044814,0.11884159640463937,0.12186300968111637,0.1307874251781414,0.10673147018465434,0.019736842105263157,0.04610318331503842,0.12563145179002855,0.005
9,0.21305517006467975,0.1535335317522721,0.4048000524887647,0.41514940695224667,0.42177990988538394,0.40202197508232806,0.3142455810629532,0.3149430045461018,0.2460118926866987,0.32426769755161233,0.043859649122807015,0.09001097694840834,0.20426092686141006,0.015
10,0.21910519927324185,0.17760007802774253,0.53737387498945,0.5244659728375032,0.567918166152477,0.5565814361979339,0.4326739970521054,0.40677734455132425,0.40325764049744217,0.45097805275115765,0.05652173913043478,0.15108695652173912,0.36043478260869566,0.005
11,0.0008974368641519199,-0.00141948850118444,0.2708710481919823,0.2748065999762923,0.33744022584884703,0.2777966007783826,0.09347043009391814,0.09093552625094282,0.10245738374300699,0.10761800269885641,0.02608695652173913,0.02717391304347826,0.10043478260869565,0.015
12,0.16988295170882425,0.13189906610790375,0.36940359734473216,0.36731683379737556,0.39752249814829993,0.3874038939208559,0.21203954392972968,0.20249535887905332,0.1755155036491715,0.23950721314676593,0.04565217391304348,0.08478260869565217,0.16847826086956522,0.02
13,0.13664411049323766,0.10665058949427307,0.7532972381885992,0.7540977206588614,0.7620061688564742,0.7405053531765734,0.6485374756657197,0.6466294355309203,0.5822019787222866,0.6221755085739179,0.11971830985915492,0.24028268551236748,0.4578313253012048,0.17
14,0.025208440131975537,0.0357631229433127,0.45646186698094876,0.4536733483947797,0.4852344810143802,0.44710392084605877,0.1403529337094806,0.14299477482511871,0.11914312899568597,0.1268770882473977,0.035211267605633804,0.053003533568904596,0.11764705882352941,0.045
15,0.14937387642443517,0.12748473340044242,0.4147239205115429,0.41972778739359023,0.49420205815285734,0.41280268831900674,0.11479682793459807,0.10706599217893216,0.1474811565124561,0.10070041496767308,0.035211267605633804,0.06007067137809187,0.1552090715804394,0.05
16,0.11875382085888138,0.14328243668569107,0.789059036658451,0.7884976743563658,0.8189228560272849,0.7940471331925162,0.6297950853528048,0.6260001853064775,0.6489861672303272,0.641468520053235,0.10077519379844961,0.1937984496124031,0.4538401861908456,0.17
17,0.009634292418091502,0.029261607977015616,0.513550616298176,0.519598381645965,0.55230976750806,0.5172895311660335,0.11394764989325873,0.10739803030420819,0.08910057714183457,0.10914887865971969,0.015503875968992248,0.03875968992248062,0.13033359193173003,0.03
18,0.10473878979369033,0.10062209714741718,0.5584154422364381,0.5572657650732628,0.5971505710914629,0.5701025163579422,0.20136032873782442,0.17653338968009422,0.18662460039218812,0.2190713409401586,0.03875968992248062,0.050387596899224806,0.18619084561675717,0.045
19,0.1570322142839198,0.15176765604459796,0.8291639913094929,0.8174429656400614,0.8092740901138247,0.8205244703863894,0.7324986673487401,0.7077247374582127,0.6558693893227149,0.7148653332276433,0.18796992481203006,0.2830188679245283,0.4716981132075472,0.235
20,0.029130212399951186,0.032471725592185634,0.47501142259922985,0.47219905234077664,0.4917195945453623,0.4747460074261742,0.13544693974296781,0.10839385438086659,0.06494153993017572,0.12411401955025118,0.03759398496240601,0.045283018867924525,0.10037735849056603,0.04
21,0.1182665998973739,0.1012724255946465,0.5107862822516706,0.528450788679946,0.5421253980129814,0.5249634328615166,0.17780134144913734,0.21132666918908458,0.15791226221358867,0.20904403791489398,0.015037593984962405,0.052830188679245285,0.16679245283018868,0.045
22,0.11234613426550727,0.12068836494683437,0.864357095869603,0.8386863593416821,0.7925446669470987,0.8483548392818414,0.8003373177262925,0.742244831226496,0.6102569277250467,0.7641966732039814,0.16058394160583941,0.2737226277372263,0.4762600438276114,0.205
23,0.008112648318088797,0.008128799420991595,0.5241761191922618,0.5147572625986393,0.5037249850447274,0.5199204037198929,0.20395143315166678,0.1853392400866746,0.08686230345540064,0.19865161114897822,0.021897810218978103,0.043795620437956206,0.11322132943754565,0.035
24,0.1041819992877941,0.07827483255219017,0.5434139648550472,0.520997839488361,0.5398381108716827,0.5250134587109505,0.24766933501648197,0.1924083524843713,0.16327253635977806,0.202738317769544,0.0364963503649635,0.072992700729927,0.15924032140248356,0.07
25,0.21539711737162828,0.20834459647053497,0.7555985039562559,0.734754071238619,0.6530082847607203,0.7425782906559932,0.6797584571441334,0.6255188216447157,0.4141513262795624,0.6723165464444573,0.17494089834515367,0.2686390532544379,0.28172348484848486,0.07
26,0.00014102538090735018,0.020268999787347603,0.3959227991133916,0.41767585818701997,0.45796155271266265,0.3956218875636341,0.12388517215249674,0.14669271308552587,0.1178823153216861,0.145883777868446,0.014184397163120567,0.033136094674556214,0.08404356060606061,0.01
27,0.15510001631238762,0.14436095857746983,0.43222156988058497,0.43932918655791475,0.4936460257197341,0.4054181085073654,0.1903843570011353,0.18025832555173116,0.18462438237430503,0.15875807220957794,0.02127659574468085,0.047337278106508875,0.10085227272727272,0.01
28,0.23255719912012252,0.20646843896728767,0.7339339499802012,0.6753916879706675,0.5524590596311673,0.7854551622778545,0.6218424266687235,0.5167664579674129,0.25451137339034663,0.7177394125762486,0.301010101010101,0.2891809908998989,0.2522759457819138,0.26
29,-0.003990089389824661,0.01756236263516921,0.36666771972663853,0.3722972722079027,0.42217790256669024,0.36708433072307034,0.1099969728300488,0.10393388421153606,0.09726309846951191,0.12881771672207457,0.01616161616161616,0.024266936299292215,0.0762694719805786,0.005
30,0.15476437219523992,0.15302641053588464,0.38430445803994356,0.38795983912781523,0.45537261042924676,0.3848000332850073,0.12964435178813083,0.12170937811052758,0.15518094066281618,0.14014640791241445,0.028282828282828285,0.04044489383215369,0.10034392069593365,0.01
31,0.21957387658048494,0.20829714459194013,0.3735803261792529,0.4360487274147171,0.47402829047228995,0.34956137558715805,0.16651449156262713,0.2486013676071422,0.1929427934746102,0.16928191362448503,0.11359724612736662,0.16179001721170397,0.22671716302289552,0.065
32,-0.0402422497250263,-0.038912124391536046,0.34578670680942675,0.35301036743714537,0.39531988291840175,0.3624280696522064,0.11678863716382062,0.11516886275430857,0.08667238454440453,0.16048187105156042,0.025817555938037865,0.0378657487091222,0.07591668101222242,0.01
